filename,label
2380.jpg,soto_ayam
2372.jpg,nasi_goreng
1973.jpg,soto_ayam
1171.jpg,bakso
1762.jpg,gado_gado
0500.jpg,rendang
1835.jpg,soto_ayam
2239.jpg,gado_gado
2551.jpg,soto_ayam
0663.jpg,gado_gado
1375.jpg,rendang
0820.jpg,gado_gado
2651.jpg,soto_ayam
2711.jpg,nasi_goreng
1511.jpg,nasi_goreng
0689.jpg,soto_ayam
1251.jpg,bakso
0475.jpg,rendang
1059.jpg,gado_gado
0764.jpg,nasi_goreng
2071.jpg,bakso
0235.jpg,nasi_goreng
0493.jpg,soto_ayam
0938.jpg,nasi_goreng
2523.jpg,nasi_goreng
2225.jpg,rendang
2500.jpg,rendang
2152.jpg,rendang
1274.jpg,rendang
1535.jpg,gado_gado
0209.jpg,gado_gado
0065.jpg,gado_gado
0788.jpg,nasi_goreng
0512.jpg,nasi_goreng
1561.jpg,bakso
0988.jpg,nasi_goreng
0779.jpg,nasi_goreng
1738.jpg,bakso
0371.jpg,gado_gado
2461.jpg,gado_gado
1755.jpg,rendang
2028.jpg,bakso
2063.jpg,gado_gado
1028.jpg,rendang
2214.jpg,rendang
1406.jpg,rendang
0836.jpg,nasi_goreng
2263.jpg,rendang
0884.jpg,soto_ayam
1496.jpg,nasi_goreng
0409.jpg,rendang
0322.jpg,gado_gado
0504.jpg,gado_gado
2198.jpg,gado_gado
1341.jpg,nasi_goreng
2679.jpg,nasi_goreng
1546.jpg,nasi_goreng
2321.jpg,rendang
2577.jpg,gado_gado
0925.jpg,nasi_goreng
1394.jpg,rendang
2457.jpg,bakso
0350.jpg,rendang
1035.jpg,nasi_goreng
0039.jpg,soto_ayam
2695.jpg,gado_gado
0614.jpg,soto_ayam
1957.jpg,bakso
2341.jpg,gado_gado
0047.jpg,rendang
1048.jpg,gado_gado
1075.jpg,rendang
1003.jpg,rendang
1281.jpg,nasi_goreng
0832.jpg,soto_ayam
2611.jpg,nasi_goreng
0967.jpg,nasi_goreng
1175.jpg,rendang
0805.jpg,gado_gado
0066.jpg,bakso
0290.jpg,rendang
0747.jpg,rendang
2558.jpg,bakso
1789.jpg,gado_gado
0090.jpg,gado_gado
0280.jpg,gado_gado
1308.jpg,soto_ayam
2212.jpg,nasi_goreng
1519.jpg,nasi_goreng
1362.jpg,nasi_goreng
2271.jpg,gado_gado
1040.jpg,gado_gado
1922.jpg,rendang
